students,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18
S050,2,1,2,3,1,1,1,0,1,1,1,1,3,1,2,2,1,2
S051,2,2,2,2,3,2,2,2,2,1,1,1,3,2,2,1,0,1
S052,2,2,2,2,1,1,1,3,2,1,0,0,1,2,2,2,1,1
S053,2,3,2,2,1,2,3,3,3,1,1,1,3,2,2,2,2,2
S054,1,1,2,2,2,2,2,2,2,0,0,0,2,1,1,1,1,2
S055,2,1,2,0,0,1,0,0,0,1,0,0,2,1,2,0,1,1
S056,2,1,2,3,1,2,1,1,2,1,1,1,,,,,,
S057,1,1,2,0,0,0,,,,,,,,,,,,
S058,1,1,2,2,2,2,1,1,2,2,1,1,2,1,2,2,2,2
S059,2,2,2,2,2,2,2,3,2,1,2,2,2,2,2,2,2,2
S060,2,3,2,2,2,2,1,2,2,1,1,1,1,1,1,2,2,2
S061,2,2,2,2,2,2,,,,,,,1,1,1,2,1,2
S062,2,2,2,3,1,3,2,2,2,1,0,1,1,1,2,2,1,2
S063,1,1,1,2,1,2,2,2,1,1,1,1,2,1,2,2,3,2
S064,,,,1,0,1,2,2,2,1,1,1,,,,,,
S065,2,2,2,2,1,2,,,,,,,2,1,1,2,1,2
S066,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2
S067,,,,3,1,2,2,2,2,2,1,1,2,2,2,2,2,2
S068,1,1,1,1,1,1,2,1,1,1,1,0,1,1,2,2,1,1
S069,,,,2,1,2,3,3,3,2,1,1,3,1,2,2,3,3
S070,2,3,2,2,1,2,3,2,2,2,2,2,3,2,2,2,1,2
S071,2,3,2,2,1,2,2,1,1,2,1,2,3,3,2,2,2,2
S072,2,1,1,2,2,1,2,2,2,1,1,1,2,2,2,2,2,2
S073,2,2,3,2,2,2,2,1,2,2,1,1,1,2,2,2,1,1
S074,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,1,2
S075,3,2,2,2,1,2,3,2,2,2,1,2,3,3,3,3,1,2
S076,3,2,2,3,2,2,3,3,3,3,2,2,3,3,3,3,3,3
S077,2,3,2,2,2,2,2,3,2,2,1,1,2,1,2,2,2,2
S078,2,3,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2
S079,3,2,3,2,2,2,2,2,2,2,1,2,3,2,2,2,1,1
S080,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,0,0
S081,2,3,2,2,2,2,2,2,2,2,1,1,3,1,2,2,2,1
S082,0,0,0,1,2,1,3,2,2,2,1,1,1,2,2,2,2,2
S083,2,3,2,2,2,2,3,3,3,2,1,1,3,2,2,2,2,2
S084,3,3,2,2,2,2,3,3,3,3,2,2,3,1,2,2,2,2
S085,2,3,2,2,2,2,3,2,2,2,1,2,3,2,2,1,1,2
S086,2,3,3,2,2,2,2,2,2,2,1,1,3,3,2,2,1,2
S087,2,2,2,2,3,2,2,3,2,3,3,2,3,2,2,3,2,2
S088,2,3,2,2,2,2,3,2,3,2,1,1,3,3,2,2,2,2
S089,2,3,2,3,1,2,2,2,2,2,1,2,3,2,2,2,2,2
S090,2,2,3,2,2,2,2,2,2,2,1,1,3,3,2,2,2,2
S091,2,2,1,2,1,1,2,3,2,1,0,1,1,2,1,2,1,1
S092,2,3,2,2,2,1,2,1,1,1,0,0,2,1,1,2,2,2
S093,2,3,2,3,1,2,3,3,2,3,2,2,3,2,2,2,2,2
S094,3,3,3,3,3,2,2,2,2,3,2,2,3,2,2,3,2,2
S095,3,3,3,2,1,1,2,3,2,2,1,2,1,1,2,2,1,1
S096,3,1,2,3,1,2,3,3,3,2,2,2,3,2,3,2,2,2
S097,2,2,2,2,2,3,3,3,3,3,2,2,3,3,3,2,2,2
S098,2,2,2,2,2,1,3,2,2,2,1,2,2,2,2,1,2,2
S099,2,2,2,3,1,2,3,3,2,2,2,3,3,2,2,3,2,2
S100,2,3,2,3,2,2,3,3,3,3,2,2,3,2,2,3,3,2
S101,2,3,2,2,1,2,3,2,2,2,1,1,1,1,2,2,2,2
S102,2,3,3,2,2,2,3,3,2,3,3,2,3,2,2,3,2,2
S103,2,3,2,3,2,3,2,3,2,2,2,2,3,2,3,2,2,2
S104,3,2,2,2,1,2,3,3,3,2,2,2,3,2,2,2,2,2
S105,3,3,2,2,2,2,3,3,3,2,2,2,3,1,2,1,1,2
S106,1,2,1,3,2,3,2,2,2,2,1,2,3,3,3,3,2,2
S107,2,2,2,2,2,2,3,3,3,2,2,2,2,1,1,2,1,1
S108,,,,,,,3,2,3,2,2,2,3,2,2,2,2,2
S109,3,2,2,2,2,2,1,1,1,2,2,2,3,3,2,2,2,2
S110,,,,,,,2,2,1,2,1,1,1,2,2,3,3,2
S111,3,3,2,3,2,3,3,2,2,2,2,2,2,2,2,2,1,2
S112,2,2,2,2,3,1,1,0,1,2,1,1,1,2,2,2,2,2
S113,2,2,2,3,1,3,2,2,2,3,3,2,1,1,2,2,2,1
S114,2,2,1,2,1,1,2,2,2,2,1,1,3,1,2,2,2,1
S115,3,1,2,3,1,2,2,1,1,1,0,1,2,2,2,2,2,2
S116,2,2,2,2,1,1,3,2,2,2,2,2,2,1,1,1,1,2
S117,1,1,1,2,1,2,2,1,1,0,1,0,2,2,2,2,2,2
S118,3,3,2,2,2,2,2,2,2,2,1,1,3,2,2,2,2,2
S119,2,1,2,2,1,2,2,2,2,2,1,1,1,1,1,2,3,2
S120,2,2,2,3,1,2,2,1,2,1,1,1,2,1,2,2,2,2
S121,2,1,1,2,2,2,2,2,3,1,2,2,3,3,2,2,2,2
S122,3,2,3,2,1,3,2,3,2,1,1,1,1,2,2,2,2,2
