student,理解度,興味関心,進み具合,説明,話し方,学生対応
S170,5,5,5,5,4,5
S171,4,4,5,5,5,4
S172,5,3,5,3,5,5
S173,3,3,2,3,4,3
S174,4,3,4,5,5,4
S175,5,4,4,3,4,4
S176,1,1,1,1,1,1
S177,5,5,5,5,4,4
S178,4,4,5,4,4,4
S179,5,3,5,5,5,5
S180,5,4,5,4,4,4
S181,4,4,4,4,4,4
S182,5,4,5,4,5,3
S183,4,3,3,3,4,4
S184,4,3,3,4,5,5
S185,2,1,4,3,4,3
S186,2,4,2,3,4,3
S187,2,1,3,3,3,5
S188,4,4,4,4,4,4
S189,5,5,5,5,5,5
S190,4,4,5,5,5,4
S191,3,3,4,4,3,5
S192,4,3,5,4,5,5
S193,4,4,5,4,4,5
S194,5,4,4,4,5,3
S195,3,3,2,4,4,3
S196,5,4,5,5,5,5
S197,4,3,4,2,3,4
S198,3,4,1,5,5,5
S199,4,3,5,5,5,4
S200,3,3,2,2,3,4
