student,item1,item2,item4,item6,item8,item9
S081,4,5,5,4,5,4
S082,5,5,4,1,5,4
S083,1,1,2,3,2,1
S084,2,1,2,4,2,1
S085,2,4,4,4,4,3
S086,4,4,5,4,4,3
S087,4,5,5,3,4,4
S088,3,3,1,3,3,3
S089,1,1,1,1,4,2
S090,1,1,1,2,3,3
S091,4,4,4,3,4,3
S092,5,5,4,4,5,4
S093,4,5,5,5,5,5
S094,5,4,5,5,5,4
S095,4,4,5,5,4,3
S096,5,4,4,4,5,4
S097,5,4,5,5,5,4
S098,5,5,5,5,5,4
S099,5,5,5,2,5,5
S100,5,4,4,5,5,4
S101,5,5,5,5,5,4
S102,5,5,2,4,4,2
S103,4,4,4,3,4,3
S104,5,4,5,3,5,4
S105,5,5,5,1,5,5
S106,5,5,5,4,4,4
S107,5,4,5,4,5,4
S108,5,5,4,4,4,4
S109,4,3,4,3,4,3
S110,4,5,5,5,5,3
S111,5,5,4,5,4,3
S112,5,5,5,5,4,3
S113,4,4,4,4,5,4
S114,4,3,4,3,4,2
S115,5,4,5,5,4,4
S116,5,4,5,4,5,4
S117,4,5,1,3,3,3
S118,4,3,5,4,1,1
S119,3,3,4,3,4,4
S120,5,4,5,5,4,3
S121,3,4,5,4,5,4
S122,4,4,5,5,5,5
S123,4,5,5,3,4,4
S124,3,3,5,4,4,3
S125,4,4,5,3,5,4
S126,5,5,5,4,4,4
S127,5,5,5,5,4,2
S128,5,4,5,5,5,4
S129,5,5,2,4,4,3
S130,4,3,4,3,3,4
S131,1,1,2,2,1,3
S132,5,5,4,3,5,4
S133,5,3,5,3,5,3
S134,5,5,5,4,4,4
S135,5,3,5,3,4,4
S136,4,4,5,4,4,4
S137,5,5,5,3,5,5
S138,4,3,5,4,4,4
S139,1,1,5,1,5,5
S140,5,4,4,4,4,3
S141,5,5,5,5,5,5
S142,4,4,2,2,4,2
S143,2,5,3,5,5,5
S144,2,1,4,3,4,2
S145,4,5,5,4,5,2
S146,5,3,4,3,4,2
S147,4,4,4,4,3,3
S148,4,4,5,5,5,3
S149,4,3,5,4,5,3
S150,5,4,5,1,4,3
S151,4,3,4,4,4,3
S152,5,5,4,5,4,3
S153,5,5,5,4,5,5
S154,4,3,4,4,4,4
S155,2,2,3,3,4,3
S156,4,3,4,4,5,4
S157,4,3,4,4,5,4
S158,5,5,5,5,5,5
S159,4,4,3,3,4,4
S160,3,4,1,4,4,3
S161,4,5,5,4,5,5
S162,1,4,5,1,4,4
S163,3,5,4,4,5,3
S164,1,2,1,1,2,2
S165,5,5,3,4,5,4
S166,4,3,4,4,4,3
S167,4,4,3,4,4,3
S168,5,5,5,5,5,5
S169,4,4,4,4,3,4
S170,4,5,5,5,5,5
S171,5,5,5,4,4,4
S172,5,3,5,5,5,3
S173,4,3,2,3,3,3
S174,5,5,4,4,4,3
S175,4,3,4,4,5,4
S176,1,1,1,1,1,1
S177,4,5,5,4,5,5
S178,4,4,5,4,4,4
S179,5,5,5,5,5,3
S180,4,4,5,4,5,4
S181,4,4,4,4,4,4
S182,5,4,5,3,5,4
S183,4,3,3,4,4,3
S184,5,4,3,5,4,3
S185,4,3,4,3,2,1
S186,4,3,2,3,2,4
S187,3,3,3,5,2,1
S188,4,4,4,4,4,4
S189,5,5,5,5,5,5
S190,5,5,5,4,4,4
S191,3,4,4,5,3,3
S192,5,4,5,5,4,3
S193,4,4,5,5,4,4
S194,5,4,4,3,5,4
S195,4,4,2,3,3,3
S196,5,5,5,5,5,4
S197,3,2,4,4,4,3
S198,5,5,1,5,3,4
S199,5,5,5,4,4,3
S200,3,2,2,4,3,3
