student,class,sex,faculty,mid,end,suki,manzoku,rikai
S278,I,F,F09,54,33,4,4,2
S279,I,M,F09,62,39,4,3,3
S280,I,M,F09,76,69,5,3,3
S281,I,F,F09,76,61,4,2,2
S282,I,M,F09,70,92,3,5,5
S283,I,M,F09,56,35,1,3,2
S284,I,M,F09,82,55,4,2,4
S285,I,M,F09,74,66,5,2,4
S286,I,M,F09,86,84,3,5,4
S287,I,M,F09,84,100,3,4,3
S288,I,M,F09,54,53,4,3,3
S289,I,M,F09,NA,98,1,4,2
S290,I,M,F09,76,81,4,4,4
S291,I,M,F09,78,83,3,4,4
S292,I,M,F09,74,66,3,3,1
S293,I,M,F09,64,70,3,1,3
S294,I,M,F09,72,73,4,4,3
S295,I,M,F09,84,63,3,1,2
S296,I,M,F09,62,97,4,4,3
S297,I,M,F09,68,70,3,3,1
S298,I,M,F09,NA,97,3,5,5
S299,I,M,F09,78,98,5,4,4
S300,I,M,F09,76,56,3,4,2
S301,I,M,F09,98,100,4,5,5
S302,I,M,F09,32,62,5,4,3
S303,I,M,F09,46,32,5,3,4
S304,I,M,F09,60,65,2,1,1
S305,I,M,F09,66,90,3,5,5
S306,I,M,F09,42,65,3,2,3
S307,I,M,F09,70,63,2,2,2
S308,I,M,F09,80,48,5,2,4
S309,I,M,F09,54,52,2,4,2
S310,I,M,F09,NA,98,5,4,3
S311,I,M,F09,NA,96,4,4,2
S312,I,M,F09,64,46,4,1,2
S313,I,M,F09,78,100,4,4,4
S314,I,M,F09,60,83,2,4,2
S315,I,M,F09,68,63,4,4,4
S316,I,M,F09,66,35,1,4,1
S317,J,M,F09,72,98,1,4,1
S318,J,M,F09,52,63,2,2,2
S319,J,M,F09,60,32,1,4,1
S320,J,M,F09,82,97,4,5,5
S321,J,M,F09,54,81,3,4,3
S322,J,M,F09,52,78,2,1,1
S323,J,M,F09,76,75,1,3,2
S324,J,M,F09,60,73,3,4,4
S325,J,M,F09,66,93,5,4,3
S326,J,F,F09,66,68,3,3,3
S327,J,M,F09,60,95,5,5,5
S328,J,M,F09,64,53,2,2,2
S329,J,M,F09,76,85,5,5,4
S330,J,M,F09,94,96,3,4,1
S331,J,M,F09,62,58,3,1,3
S332,J,M,F09,60,47,3,2,2
S333,J,F,F09,88,95,4,5,5
S334,J,M,F09,66,85,3,5,5
S335,J,M,F09,46,32,1,2,2
S336,J,M,F09,86,95,4,5,4
S337,J,M,F09,54,54,3,2,4
S338,J,M,F09,60,54,2,4,2
S339,J,M,F09,72,98,4,5,4
S340,J,M,F09,74,96,4,5,5
S341,J,M,F09,70,61,4,4,1
S342,J,M,F09,62,81,3,5,4
S343,J,M,F09,56,70,5,4,4
S344,J,F,F09,68,88,3,5,5
S345,J,M,F09,94,96,1,4,1
S346,J,M,F09,70,96,4,4,4
S347,J,M,F09,56,69,4,1,3
S348,J,M,F09,38,35,4,4,4
S349,J,M,F09,68,74,4,2,3
S350,J,M,F09,80,96,4,4,1
S351,J,M,F09,74,95,2,4,1
S352,J,M,F09,84,77,5,4,3
S353,J,M,F09,74,48,3,1,1
S354,J,F,F09,62,64,3,1,4
S355,J,M,F09,84,97,3,5,4
S356,J,M,F09,64,94,5,4,4
S357,J,M,F09,68,91,4,5,4
S358,J,M,F09,62,51,3,4,4
S359,J,M,F09,64,50,1,4,2
S360,J,M,F09,66,58,3,4,1
S361,J,M,F09,38,30,1,2,1
S362,J,M,F09,74,65,4,1,1
S363,K,M,F08,66,94,3,5,5
S364,K,M,F08,64,95,4,4,3
S365,K,M,F08,32,32,3,4,1
S366,K,M,F08,68,68,1,4,1
S367,K,M,F08,68,52,5,3,4
S368,K,F,F08,50,45,3,1,2
S369,K,M,F08,64,71,4,4,2
S370,K,M,F08,48,51,5,1,4
S371,K,M,F08,80,89,5,5,4
S372,K,M,F08,52,23,1,2,1
S373,K,M,F08,66,65,4,2,3
S374,K,M,F08,68,71,1,4,1
S375,K,M,F08,58,58,4,1,4
S376,K,M,F08,78,93,1,4,2
S377,K,M,F08,66,75,5,4,3
S378,K,M,F08,78,53,3,3,3
S379,K,M,F08,72,59,5,4,4
S380,K,M,F08,52,95,5,5,4
S381,K,F,F08,70,81,2,4,2
S382,K,M,F08,74,91,5,5,5
S383,K,M,F08,64,88,1,4,1
S384,K,M,F08,NA,96,5,4,3
S385,K,M,F08,46,61,2,3,1
S386,K,M,F08,50,42,4,2,2
S387,K,M,F08,54,56,3,2,3
S388,K,M,F08,46,33,4,4,4
S389,K,M,F08,64,83,3,5,5
S390,K,M,F08,46,48,4,4,4
S391,K,M,F08,30,46,4,2,4
S392,K,M,F08,44,84,5,5,4
S393,K,M,F08,48,37,5,1,4
S394,K,M,F08,42,81,5,5,4
S395,K,M,F08,68,83,3,5,5
S396,K,M,F08,48,73,3,1,1
S397,K,M,F08,60,70,3,1,3
S398,K,M,F08,62,70,5,2,4
S399,K,F,F08,46,52,5,2,4
S400,K,M,F08,40,54,4,3,2
S401,K,M,F08,56,74,3,2,2
S402,K,M,F08,76,98,4,5,5
S403,K,M,F08,48,74,4,3,1
S404,K,M,F08,66,79,5,2,4
S405,K,M,F08,48,65,4,4,4
S406,K,M,F08,62,58,5,1,3
S407,K,M,F08,42,16,3,1,3
S408,K,M,F08,50,27,4,1,1
S409,K,F,F08,60,97,4,5,5
S410,K,M,F08,46,72,4,1,4
S411,K,M,F08,50,55,4,1,1
S412,K,F,F08,40,40,3,4,2
S413,K,M,F08,54,97,5,5,4
S414,K,M,F08,78,96,4,5,5
S415,K,M,F08,56,45,1,1,1
S416,L,M,F08,72,60,3,4,4
S417,L,M,F08,86,97,3,4,4
S418,L,M,F08,68,52,4,2,1
S419,L,M,F08,84,61,3,3,3
S420,L,M,F08,68,59,3,4,4
S421,L,M,F08,84,89,5,5,4
S422,L,M,F08,86,98,4,4,3
S423,L,M,F08,82,60,5,3,3
S424,L,M,F08,58,91,5,5,4
S425,L,M,F08,70,66,4,1,2
S426,L,M,F08,62,76,5,1,4
S427,L,M,F08,74,100,3,5,5
S428,L,M,F08,88,90,4,5,5
S429,L,M,F08,74,42,5,3,3
S430,L,M,F08,76,79,4,4,1
S431,L,F,F08,82,99,5,5,5
S432,L,M,F08,78,94,3,5,4
S433,L,M,F08,76,95,3,4,4
S434,L,M,F08,80,66,4,1,2
S435,L,M,F08,62,31,3,2,4
S436,L,M,F08,96,100,4,5,4
S437,L,M,F08,52,51,4,1,4
S438,L,M,F08,68,50,3,3,4
S439,L,M,F08,76,73,4,2,3
S440,L,M,F08,76,97,5,4,4
S441,L,M,F08,96,86,3,5,5
S442,L,F,F08,58,85,3,4,3
S443,L,M,F08,74,53,3,3,3
S444,L,M,F08,46,51,3,3,3
S445,L,M,F08,NA,98,5,5,5
S446,L,F,F08,98,95,5,4,3
S447,L,M,F08,64,90,2,4,1
S448,L,M,F08,52,33,3,4,1
S449,L,M,F08,70,49,1,2,2
S450,L,M,F08,72,49,4,1,3
S451,L,M,F08,86,64,4,2,3
S452,L,M,F08,64,56,3,2,2
S453,L,M,F08,70,99,5,5,4
S454,L,M,F08,58,76,2,4,1
S455,L,M,F08,80,82,3,5,4
S456,L,M,F08,96,95,3,5,4
S457,L,M,F08,62,97,3,5,5
S458,L,M,F08,66,98,4,5,5
S459,L,M,F08,88,91,1,4,1
S460,L,M,F08,80,58,2,4,2
S461,L,M,F08,74,93,2,4,2
S462,L,M,F08,42,55,3,1,4
S463,L,M,F08,NA,96,5,4,4
S464,L,M,F08,86,96,4,5,4
S465,L,M,F08,66,90,4,5,5
S466,L,M,F08,70,86,3,4,4
S467,L,F,F08,72,64,4,4,1
S468,L,M,F08,96,98,3,4,4
S469,L,M,F08,70,71,5,4,4
S470,M,M,F03,84,66,4,4,2
S471,M,M,F03,80,93,4,4,3
S472,M,M,F03,92,99,4,5,5
S473,M,M,F03,88,74,4,4,1
S474,M,M,F03,48,85,4,4,4
S475,M,M,F03,80,96,3,4,1
S476,M,F,F03,74,70,3,2,2
S477,M,F,F03,86,92,5,4,4
S478,M,F,F03,78,52,3,1,3
S479,M,M,F03,88,96,4,5,4
S480,M,F,F03,90,96,5,5,4
S481,M,M,F03,68,69,3,3,2
S482,M,M,F03,84,94,4,4,1
S483,M,M,F03,58,52,1,4,2
S484,M,M,F03,66,69,3,1,3
S485,M,M,F03,88,100,2,4,1
S486,M,F,F03,92,99,1,4,2
S487,M,F,F03,82,69,3,1,1
S488,M,F,F03,94,100,2,4,1
S489,M,M,F03,72,62,3,1,1
S490,M,M,F03,74,58,3,3,1
S491,M,M,F03,84,65,5,3,4
S492,M,M,F03,76,99,5,4,4
S493,M,M,F03,40,18,3,1,3
S494,M,M,F03,88,78,3,1,4
S495,M,F,F03,78,77,4,4,2
S496,M,M,F03,98,99,4,4,3
S497,M,F,F03,70,64,5,4,4
S498,M,M,F03,92,74,3,1,3
S499,M,M,F03,66,87,4,5,5
S500,M,F,F03,88,78,3,1,1
S501,M,F,F03,60,48,4,3,3
S502,M,F,F03,72,46,2,2,2
S503,M,M,F03,68,79,4,3,3
S504,M,M,F03,66,48,1,2,1
S505,M,M,F03,82,98,4,5,4
S506,M,M,F03,62,62,5,1,3
S507,M,M,F03,92,97,4,4,4
S508,M,M,F03,78,95,5,4,3
S509,M,M,F03,80,93,5,4,3
S510,M,F,F03,60,84,3,4,3
S511,M,M,F03,72,98,3,5,5
S512,M,M,F03,82,72,3,2,3
S513,M,M,F03,80,75,5,3,4
S514,M,M,F03,86,96,3,5,5
S515,M,F,F03,74,88,3,5,5
S516,N,M,F03,70,83,5,5,5
S517,N,F,F03,92,75,1,2,1
S518,N,M,F03,66,80,3,2,1
S519,N,F,F03,76,93,5,4,4
S520,N,F,F03,92,97,3,5,4
S521,N,M,F03,80,63,3,4,1
S522,N,F,F03,90,100,1,4,2
S523,N,M,F03,100,80,4,2,4
S524,N,M,F03,88,72,2,2,2
S525,N,M,F03,78,96,4,5,4
S526,N,M,F03,60,39,1,1,1
S527,N,M,F03,54,83,2,4,1
S528,N,M,F03,64,91,3,4,3
S529,N,F,F03,58,47,4,2,1
S530,N,F,F03,88,99,2,4,1
S531,N,F,F03,84,74,2,1,1
S532,N,F,F03,84,60,2,3,2
S533,N,M,F03,74,56,4,3,2
S534,N,F,F03,48,47,3,2,2
S535,N,F,F03,90,97,4,5,5
S536,N,F,F03,88,86,3,4,4
S537,N,F,F03,88,100,4,5,4
S538,N,F,F03,92,81,5,5,5
S539,N,M,F03,90,83,3,5,5
S540,N,F,F03,70,39,1,2,2
S541,N,F,F03,98,90,4,4,2
S542,N,M,F03,50,86,4,5,4
S543,N,M,F03,70,57,2,1,1
S544,N,M,F03,88,92,5,5,5
S545,N,M,F03,76,79,2,1,1
S546,N,M,F03,58,87,4,5,4
S547,N,F,F03,52,51,3,2,2
S548,N,F,F03,NA,99,4,4,2
S549,N,M,F03,NA,99,5,4,3
S550,N,M,F03,72,72,3,2,4
S551,N,F,F03,88,98,3,4,2
S552,N,F,F03,92,98,4,5,5
S553,N,F,F03,58,85,1,4,1
S554,N,F,F03,80,98,4,4,3
S555,N,F,F03,78,90,3,5,5
S556,N,F,F03,58,88,2,4,1
S557,N,F,F03,80,80,2,2,1
S558,N,M,F03,56,77,3,4,4
S559,N,F,F03,62,61,3,1,1
S560,N,F,F03,80,91,5,5,5
S561,N,F,F03,56,81,4,5,5
S562,O,M,F03,62,69,4,4,2
S563,O,M,F03,82,67,5,1,4
S564,O,F,F03,70,65,4,3,1
S565,O,M,F03,56,81,5,4,4
S566,O,F,F03,76,98,4,4,3
S567,O,F,F03,76,47,5,2,4
S568,O,M,F03,60,64,1,3,2
S569,O,M,F03,84,87,3,4,3
S570,O,F,F03,70,62,1,3,1
S571,O,F,F03,74,56,3,4,1
S572,O,F,F03,80,78,3,3,3
S573,O,M,F03,72,81,3,4,3
S574,O,F,F03,64,64,3,2,2
S575,O,M,F03,46,57,1,2,2
S576,O,F,F03,60,30,5,2,3
S577,O,M,F03,68,92,4,4,4
S578,O,F,F03,72,86,5,4,3
S579,O,F,F03,88,99,4,5,5
S580,O,F,F03,88,99,3,5,4
S581,O,M,F04,34,62,4,1,2
S582,O,F,F04,78,60,3,2,3
S583,O,M,F04,56,50,3,2,3
S584,O,M,F04,80,84,4,4,2
S585,O,M,F04,72,95,3,4,1
S586,O,M,F04,52,48,4,2,2
S587,O,F,F04,92,99,1,4,2
S588,O,M,F04,74,69,4,2,4
S589,O,M,F04,62,88,1,4,1
S590,O,M,F04,82,83,3,5,4
S591,O,M,F04,66,49,5,4,4
S592,O,M,F04,76,96,4,5,5
S593,O,M,F04,58,94,4,5,5
S594,O,M,F04,84,62,5,1,4
S595,O,F,F04,46,34,4,1,4
S596,O,M,F04,70,84,4,4,4
S597,O,M,F04,54,84,3,5,5
S598,O,M,F04,80,97,4,5,5
S599,O,M,F04,60,96,5,5,5
S600,O,M,F04,42,52,3,4,2
S601,O,F,F04,58,35,4,1,3
S602,O,M,F04,72,79,5,2,3
S603,O,M,F04,82,99,5,5,5
S604,O,F,F04,80,98,3,5,4
S605,O,M,F04,68,93,5,4,3
S606,O,M,F04,NA,100,5,5,4
S607,O,F,F04,62,87,3,5,4
S608,P,F,F04,66,55,3,3,4
S609,P,M,F04,68,99,3,5,5
S610,P,M,F04,82,65,3,4,4
S611,P,M,F04,80,69,3,2,2
S612,P,M,F04,60,81,5,5,5
S613,P,F,F04,68,48,2,3,2
S614,P,M,F04,68,44,4,3,3
S615,P,F,F04,80,68,4,3,3
S616,P,F,F04,78,96,3,4,3
S617,P,F,F04,86,97,4,4,4
S618,P,F,F04,86,98,3,4,3
S619,P,M,F04,84,89,2,4,1
S620,P,F,F04,74,82,5,5,4
S621,P,M,F04,84,96,3,4,4
S622,P,F,F04,88,100,4,4,2
S623,P,F,F04,70,78,3,2,2
S624,P,F,F04,72,84,3,4,4
S625,P,F,F04,90,87,2,4,2
S626,P,M,F04,68,80,5,1,3
S627,P,M,F04,76,60,3,3,3
S628,P,M,F04,88,78,3,2,2
S629,P,M,F04,88,64,2,2,2
S630,P,M,F04,78,70,4,3,4
S631,P,M,F04,88,98,3,4,4
S632,P,F,F04,76,86,3,5,5
S633,P,M,F04,92,80,2,3,1
S634,P,M,F04,60,52,5,4,4
S635,P,M,F04,64,69,1,1,1
S636,P,F,F04,84,97,4,5,4
S637,P,F,F04,64,87,4,5,5
S638,P,F,F04,80,74,3,4,4
S639,P,M,F04,62,57,5,1,3
S640,P,M,F04,90,96,4,4,1
S641,P,F,F04,NA,98,4,5,5
S642,P,F,F04,60,82,5,4,3
S643,P,M,F04,68,86,3,4,4
S644,P,M,F04,90,72,3,4,4
S645,P,F,F04,72,100,3,5,4
S646,P,F,F04,98,99,4,5,4
S647,P,M,F04,60,41,4,4,3
S648,P,M,F04,68,50,3,3,2
S649,P,M,F04,84,78,3,4,1
S650,P,M,F04,86,97,4,5,5
S651,P,F,F04,84,73,1,3,1
S652,P,M,F04,90,83,3,4,3
S653,P,M,F04,50,57,5,1,4
S654,P,M,F04,82,58,1,2,1
S655,Q,M,F08,84,96,3,4,2
S656,Q,M,F08,84,68,2,4,2
S657,Q,M,F08,62,75,1,1,1
S658,Q,M,F08,48,26,3,1,2
S659,Q,M,F08,82,62,4,1,3
S660,Q,M,F08,90,76,5,1,3
S661,Q,F,F08,86,65,5,3,3
S662,Q,M,F08,70,72,3,2,2
S663,Q,M,F08,78,84,1,4,2
S664,Q,M,F08,68,94,5,4,4
S665,Q,M,F08,74,77,3,2,2
S666,Q,F,F08,86,97,5,5,4
S667,Q,M,F08,82,98,4,5,5
S668,Q,M,F08,72,65,3,4,3
S669,Q,M,F08,48,50,3,2,1
S670,Q,M,F08,80,54,3,1,3
S671,Q,M,F08,34,23,2,3,2
S672,Q,F,F08,70,74,3,2,4
S673,Q,M,F08,34,50,1,4,1
S674,Q,M,F08,56,72,3,1,4
S675,Q,M,F08,100,100,3,5,4
S676,Q,M,F08,68,62,4,3,1
S677,Q,M,F08,94,96,4,5,5
S678,Q,M,F08,84,74,3,3,2
S679,Q,M,F08,64,82,4,5,5
S680,Q,M,F08,50,78,3,2,4
S681,Q,M,F08,100,99,4,4,2
S682,Q,M,F08,82,82,3,4,3
S683,Q,M,F08,68,100,3,5,5
S684,Q,M,F08,80,73,4,1,2
S685,Q,M,F08,74,58,4,2,1
S686,Q,M,F08,82,76,5,2,4
S687,Q,M,F08,34,40,3,2,3
S688,Q,M,F08,90,96,2,4,1
S689,Q,M,F08,88,93,4,5,5
S690,Q,M,F08,72,64,2,3,1
S691,Q,F,F08,70,56,2,2,1
S692,Q,M,F08,72,66,4,3,3
S693,Q,M,F08,50,59,5,2,4
S694,Q,M,F08,84,98,4,5,4
