,年齢,不安
402,65,ややそう思う
403,56,ややそう思う
404,72,ややそう思う
405,33,ややそう思う
406,51,ややそう思う
407,49,ややそう思う
408,61,ややそう思う
409,50,ややそう思う
410,34,ややそう思う
411,33,あまりそう思わない
412,47,まったくそう思わない
413,63,ややそう思う
414,61,ややそう思う
415,59,ややそう思う
416,47,とてもそう思う
417,60,あまりそう思わない
418,20,あまりそう思わない
419,44,ややそう思う
420,32,まったくそう思わない
421,38,ややそう思う
422,37,あまりそう思わない
423,49,とてもそう思う
424,54,ややそう思う
425,54,ややそう思う
426,44,あまりそう思わない
427,57,ややそう思う
428,48,ややそう思う
429,73,ややそう思う
430,40,ややそう思う
431,46,ややそう思う
432,30,ややそう思う
433,57,ややそう思う
434,60,ややそう思う
435,21,とてもそう思う
436,47,ややそう思う
437,60,とてもそう思う
438,22,とてもそう思う
439,61,とてもそう思う
440,78,あまりそう思わない
441,76,まったくそう思わない
442,68,ややそう思う
443,19,あまりそう思わない
444,62,ややそう思う
445,38,ややそう思う
446,57,ややそう思う
447,51,ややそう思う
448,62,とてもそう思う
449,53,ややそう思う
450,75,あまりそう思わない
451,65,とてもそう思う
452,58,あまりそう思わない
453,62,まったくそう思わない
454,85,あまりそう思わない
455,53,ややそう思う
456,59,まったくそう思わない
457,61,ややそう思う
458,40,まったくそう思わない
459,67,ややそう思う
460,56,ややそう思う
461,48,ややそう思う
462,62,まったくそう思わない
463,65,ややそう思う
464,70,あまりそう思わない
465,61,ややそう思う
466,53,まったくそう思わない
467,25,ややそう思う
468,43,あまりそう思わない
469,31,あまりそう思わない
470,69,とてもそう思う
471,56,ややそう思う
472,44,まったくそう思わない
473,61,ややそう思う
474,72,あまりそう思わない
475,78,あまりそう思わない
476,64,ややそう思う
477,61,ややそう思う
478,25,まったくそう思わない
479,46,あまりそう思わない
480,74,とてもそう思う
481,63,まったくそう思わない
482,33,ややそう思う
483,47,あまりそう思わない
484,54,ややそう思う
485,50,ややそう思う
486,47,ややそう思う
487,63,ややそう思う
488,60,とてもそう思う
489,19,あまりそう思わない
490,43,あまりそう思わない
491,24,まったくそう思わない
492,61,ややそう思う
493,81,ややそう思う
494,66,あまりそう思わない
495,55,まったくそう思わない
496,38,あまりそう思わない
497,34,ややそう思う
498,55,とてもそう思う
499,67,とてもそう思う
500,64,ややそう思う
